,loss_value
730,167.75
731,165.57
732,166.18
733,166.38
734,165.42
735,164.75
736,165.18
737,166.39
738,165.69
739,164.89
740,166.1
741,165.83
742,165.78
743,164.01
744,164.86
745,165.18
746,165.67
747,164.58
748,163.72
749,165.78
750,164.63
751,165.35
752,164.66
753,165.23
754,164.67
755,164.28
756,164.61
757,164.19
758,163.48
759,164.29
760,164.19
761,164.7
762,164.23
763,165.04
764,164.55
765,164.33
766,165.26
767,162.97
768,162.36
769,162.96
770,162.46
771,164.18
772,163.83
773,162.96
774,162.24
775,163.19
776,161.53
777,163.12
778,162.99
779,162.5
780,162.8
781,162.5
782,163.24
783,162.3
784,162.91
785,162.91
786,162.66
787,162.71
788,162.48
789,162.52
790,163.42
791,162.34
792,163.15
793,161.16
794,162.3
795,162.98
796,162.94
797,161.8
798,160.81
799,162.05
800,161.71
801,161.78
802,161.84
803,161.49
804,161.75
805,161.17
806,161.6
807,161.1
808,161.04
809,160.7
810,161.44
811,161.51
812,160.08
813,161.15
814,159.63
815,160.08
816,160.46
817,161.65
818,161.09
819,159.85
820,160.4
821,160.29
822,160.02
823,160.77
824,160.19
825,160.04
826,160.73
827,159.69
828,161.33
829,159.96
830,160.67
831,160.86
832,160.05
833,160.33
834,160.18
835,159.31
836,160.43
837,160.58
838,159.47
839,159.34
840,158.62
841,161.03
842,159.06
843,158.6
844,157.62
845,159.7
846,157.55
847,158.15
848,157.16
849,157.67
850,158.33
851,158.64
852,159.47
853,159.41
854,158.98
855,158.04
856,158.48
857,158.62
858,159.45
859,157.87
860,158.43
861,157.22
862,159.22
863,157.56
864,157.31
865,158.17
866,157.86
867,158.1
868,158.25
869,156.53
870,157.73
871,157.9
872,157.39
873,156.16
874,157.76
875,157.27
876,157.37
877,157.07
878,158.16
879,156.47
880,157.86
881,155.86
882,156.3
883,156.05
884,157.27
885,157.98
886,156.95
887,157.6
888,156.74
889,157.35
890,156.66
891,157.82
892,156.43
893,157.18
894,155.63
895,156.81
896,155.66
897,156.43
898,156.57
899,156.51
900,157.03
901,155.94
902,156.2
903,156.52
904,155.87
905,156.16
906,156.02
907,155.09
908,156.23
909,156.42
910,155.59
911,155.69
912,154.86
913,156.3
914,155.98
915,155.46
916,154.62
917,155.61
918,155.52
919,155.02
920,154.93
921,154.32
922,154.94
923,154.63
924,154.99
925,155.96
926,155.19
927,154.93
928,154.37
929,154.99
930,154.79
931,155.22
932,155.41
933,154.05
934,154.77
935,154.33
936,154.77
937,154.78
938,154.27
939,155.04
940,154.71
941,153.99
942,154.29
943,154.45
944,155.28
945,154.06
946,153.31
947,153.21
948,153.54
949,152.49
950,153.37
951,152.99
952,153.33
953,153.77
954,153.02
955,152.64
956,152.37
957,152.38
958,152.64
959,153.69
960,152.93
961,153.2
962,153.29
963,153.89
964,152.61
965,153.51
966,152.57
967,152.71
968,153.13
969,153.66
970,153.38
971,151.99
972,151.33
973,151.45
974,152.68
975,151.91
976,153.15
977,152.9
978,153.84
979,152.55
980,151.88
981,152.23
982,152.16
983,151.0
984,152.08
985,151.46
986,152.56
987,152.52
988,152.18
989,152.52
990,152.56
991,151.95
992,151.73
993,150.93
994,152.19
995,151.21
996,151.58
997,151.32
998,152.14
999,151.6
1000,150.85
1001,151.94
1002,151.81
1003,151.28
1004,150.6
1005,150.88
1006,149.87
1007,151.11
1008,149.68
1009,150.46
1010,150.35
1011,150.55
1012,150.88
1013,150.69
1014,150.83
1015,150.08
1016,151.24
1017,150.78
1018,150.13
1019,150.25
1020,150.36
1021,151.01
1022,150.24
1023,150.36
1024,150.19
1025,151.24
1026,150.46
1027,150.07
1028,150.34
1029,150.33
1030,150.66
1031,150.32
1032,149.15
1033,149.96
1034,150.18
1035,150.34
1036,149.97
1037,149.39
1038,149.29
1039,148.53
1040,148.96
1041,149.51
1042,148.81
1043,149.31
1044,149.25
1045,148.9
1046,149.57
1047,149.25
1048,149.72
1049,149.28
1050,148.49
1051,149.03
1052,149.63
1053,148.39
1054,148.7
1055,148.8
1056,147.83
1057,149.05
1058,147.81
1059,148.4
1060,148.97
1061,149.02
1062,148.56
1063,148.94
1064,148.86
1065,148.71
1066,148.55
1067,147.84
1068,148.38
1069,147.87
1070,146.79
1071,148.38
1072,147.63
1073,148.51
1074,148.38
1075,147.33
1076,147.57
1077,146.99
1078,147.08
1079,147.59
1080,148.27
1081,147.61
1082,147.28
1083,148.09
1084,146.53
1085,147.99
1086,147.51
1087,147.05
1088,148.06
1089,146.25
1090,148.03
1091,147.91
1092,147.53
1093,147.68
1094,147.4
1095,146.72
1096,146.64
1097,146.81
1098,147.12
1099,147.4
1100,147.2
1101,147.71
1102,147.0
1103,147.89
1104,147.08
1105,145.73
1106,147.27
1107,146.92
1108,147.58
1109,145.55
1110,147.05
1111,145.63
1112,147.2
1113,146.74
1114,146.02
1115,145.65
1116,145.24
1117,145.9
1118,146.47
1119,146.53
1120,147.28
1121,145.92
1122,146.57
1123,146.38
1124,145.01
1125,145.8
1126,146.42
1127,146.52
1128,146.14
1129,146.41
1130,145.73
1131,145.1
1132,145.7
1133,146.4
1134,145.96
1135,146.03
1136,145.16
1137,144.82
1138,145.6
1139,145.22
1140,144.21
1141,145.35
1142,145.28
1143,144.92
1144,144.88
1145,146.06
1146,144.78
1147,145.68
1148,144.38
1149,145.16
1150,144.63
1151,144.6
1152,143.63
1153,144.51
1154,144.81
1155,144.94
1156,145.63
1157,144.81
1158,143.88
1159,144.9
1160,144.02
1161,144.51
1162,145.14
1163,143.88
1164,144.58
1165,143.95
1166,144.57
1167,143.46
1168,144.92
1169,144.49
1170,144.14
1171,143.94
1172,144.31
1173,144.35
1174,144.46
1175,144.9
1176,143.96
1177,143.84
1178,143.66
1179,144.25
1180,143.56
1181,144.42
1182,142.65
1183,144.03
1184,143.91
1185,143.43
1186,144.6
1187,143.95
1188,143.21
1189,142.87
1190,143.34
1191,142.81
1192,143.28
1193,142.43
1194,144.4
1195,144.22
