,loss_value,acc,auc_validation,auc_test
254,0.5933,0.7129,0.6259,
255,0.5833,0.714,0.6262,
256,0.5931,0.7122,0.6264,
257,0.5792,0.7169,0.6266,
258,0.5838,0.7163,0.6268,
259,0.5804,0.7165,0.6269,
260,0.5879,0.7097,0.6271,
261,0.5875,0.7158,0.6273,
262,0.5894,0.7115,0.6275,
263,0.5865,0.7165,0.6278,
264,0.5881,0.7163,0.628,
265,0.5837,0.7174,0.6281,
266,0.584,0.7138,0.6282,
267,0.575,0.721,0.6283,
268,0.5827,0.7144,0.6284,
269,0.581,0.7128,0.6287,
270,0.5781,0.7198,0.6288,
271,0.5904,0.7154,0.629,
272,0.5783,0.7197,0.6291,
273,0.5812,0.7194,0.6293,
274,0.5812,0.7199,0.6295,
275,0.5762,0.7197,0.6296,
276,0.5819,0.7158,0.6298,
277,0.5821,0.7202,0.63,
278,0.576,0.7209,0.6301,
279,0.5687,0.7235,0.6302,
280,0.5892,0.7204,0.6303,
281,0.5777,0.7226,0.6305,
282,0.5658,0.7248,0.6307,
283,0.5763,0.7203,0.6309,
284,0.5712,0.72,0.631,
285,0.5863,0.7212,0.6312,
286,0.5837,0.7217,0.6313,
287,0.5831,0.7171,0.6315,
288,0.5712,0.7222,0.6317,
289,0.5785,0.7245,0.6318,
290,0.5681,0.7239,0.632,
291,0.5829,0.7212,0.6322,
292,0.5698,0.726,0.6324,
293,0.5763,0.7256,0.6326,
294,0.5737,0.722,0.6328,
295,0.5617,0.7245,0.633,
296,0.5644,0.7295,0.6331,
297,0.566,0.7266,0.6333,
298,0.5704,0.7259,0.6334,
299,0.575,0.7258,0.6335,
300,0.5769,0.7251,0.6336,
301,0.5827,0.7258,0.6337,
302,0.5656,0.727,0.6338,
303,0.5742,0.7271,0.634,
304,0.5756,0.728,0.6341,
305,0.5638,0.7281,0.6342,
306,0.5575,0.7295,0.6343,
307,0.5777,0.7246,0.6345,
308,0.5592,0.7314,0.6346,
309,0.5742,0.7241,0.6347,
310,0.5638,0.7306,0.6348,
311,0.5673,0.7273,0.635,
312,0.5706,0.7274,0.6351,
313,0.5658,0.7297,0.6352,
314,0.5698,0.7278,0.6353,
315,0.5658,0.7327,0.6354,
316,0.5602,0.7294,0.6355,
317,0.5617,0.7334,0.6356,
318,0.574,0.7282,0.6358,
319,0.5648,0.7283,0.6359,
320,0.5658,0.7259,0.6361,
321,0.5621,0.729,0.6362,
322,0.5565,0.7331,0.6363,
323,0.5806,0.7279,0.6364,
324,0.5737,0.7309,0.6365,
325,0.5752,0.7274,0.6366,
326,0.5685,0.729,0.6366,
327,0.5677,0.7307,0.6367,
328,0.5625,0.7309,0.6368,
329,0.5612,0.7327,0.637,
330,0.5727,0.7294,0.6372,
331,0.5621,0.7349,0.6373,
332,0.556,0.732,0.6374,
333,0.5631,0.7318,0.6374,
334,0.5571,0.7347,0.6375,
335,0.556,0.7327,0.6376,
336,0.5565,0.7355,0.6377,
337,0.5544,0.7342,0.6378,
338,0.5658,0.732,0.6378,
339,0.5633,0.7372,0.638,
340,0.5573,0.7365,0.638,
341,0.5535,0.7409,0.6381,
